분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
천문,6-1) 태양계와 지구의 탄생 -왜 이 행성인가,A. 외계행성,1,하,인라인,천문학자들이 외계 행성에서 생명의 가능성을 따질 때 쓰는 기준입니다. 빈칸에 들어갈 말을 고르세요.,2,1,스노우 라인/거주 가능 지대/라그랑주 지점,흔한/드문/뜨거운,,,,,"별에서 너무 가깝지도 멀지도 않아 행성 표면에 액체 상태의 물이 존재할 수 있는 영역을 [1](이)라고 한다. 우리은하에서 가장 [2] 별인 적색왜성에도 이 영역이 있어, 그 안의 행성 역시 많을 것으로 추정된다.","거주 가능 지대는 행성 표면에 액체 상태의 물이 존재할 수 있는 영역이에요. 지구도 태양의 거주 가능 지대 안에 있죠. 다만 그 경계는 별마다 달라서, 태양보다 어두운 적색왜성에서는 훨씬 안쪽에 놓인답니다."
,,,2,하,OX,시선 속도법으로는 지구 질량급의 작은 행성이 일으키는 별의 흔들림도 충분히 커서 쉽게 감지할 수 있다.,X,,O,X,,,,,-,"지구 질량급의 작은 행성은 별을 아주 조금밖에 흔들지 못해서, 그 신호가 배경 잡음에 묻혀 버려요. 공전 궤도면이 시선 방향과 수직에 가까울 때도 흔들림을 잡아내기 어렵고요. 이런 사각지대를 메우는 방법이 미세중력렌즈법이에요."
,,,3,중,사지선다 (단수),제임스 웹 우주 망원경은 외계 행성의 대기 성분을 읽어 내는 데 강점이 있습니다. 그 이유로 알맞은 것은 무엇인가요?,4,,가시광선에 특화되어 있어 행성 표면의 색을 직접 촬영한다,모항성의 흔들림을 측정해 대기 속 분자의 종류를 구분한다,지상에 설치되어 지구 대기의 흡수 효과를 그대로 이용한다,적외선에 특화되어 있어 대기 분자가 남기는 흡수선을 포착한다,,,-,"제임스 웹 우주 망원경은 적외선 영역에 특화되어 있어요. 수증기와 이산화 탄소, 메테인이 바로 이 파장 대역에서 특징적인 흡수선을 남기거든요. 주로 가시광선에서 작동한 허블 우주 망원경과 구분되는 강점이랍니다."
,,,4,중-상,순서배열,다음 문장은 뜨거운 목성이 지금의 자리에 놓이기까지 겪은 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,나-라-가-다,,형성을 마친 가스 행성이 모항성에 가까운 안쪽 궤도로 이동한다,모항성에서 멀고 차가운 영역에서 물 같은 휘발성 물질이 얼음으로 굳는다,모항성 바로 곁을 도는 행성의 대기가 매우 뜨겁게 달아오른다,얼음이 남아 있는 바깥쪽 영역에서 거대한 가스 행성이 형성된다,,,-,"뜨거운 목성은 휘발성 물질이 얼음으로 굳기 시작하는 경계인 스노우 라인 안쪽에서는 만들어지기 어려워요. 그래서 먼 곳에서 형성된 뒤 안쪽으로 이동했다고 보죠. 이 발견이 행성 이동 이론의 토대가 되었고, 그렇게 자리 잡은 행성의 대기는 섭씨 1,000도를 넘기도 한답니다."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,슈퍼 지구,,,,,,,,"지구보다 무겁지만 해왕성보다는 가벼운, 우리 태양계에는 없는 유형의 외계 행성이 여럿 발견되었다. 천문학자들은 이런 행성을 __ __(이)라고 부른다.","슈퍼 지구는 지구보다 무겁고 해왕성보다는 가벼운 행성이에요. 우리 태양계에는 없는 유형이죠. 그중에는 두꺼운 대기로 온실 효과가 극단적인 행성도, 내부 구조가 달라 판 구조론이 작동하지 않는 행성도 있을 수 있어요."
,,,6,중,사지선다 (복수),1995년에 처음 발견된 외계 행성 51 페가수스 b에 대한 설명으로 옳은 것을 모두 고르세요.,2,3,태양형 별이 아니라 적색왜성 주위를 돌고 있다,목성 질량의 절반 정도인 가스 행성이다,모항성과의 거리가 태양과 지구 사이 거리보다 훨씬 가깝다,행성이 별 앞을 지날 때 나타나는 밝기 변화로 처음 발견되었다,,,-,"51 페가수스 b는 목성 질량의 절반쯤 되는 가스 행성인데, 모항성과의 거리는 태양과 지구 사이 거리의 약 20분의 1 수준이었어요. 태양형 별 주위에서 처음 발견된 외계 행성이고, 당시 이론으로는 그 자리에 가스 행성이 생기기 어려웠죠. 발견에 쓰인 방법은 밝기 변화를 보는 통과법이 아니라 별빛 파장의 변화를 읽는 시선 속도법이었어요."
,,,7,중-상,순서배열,다음 문장은 외계 행성의 대기 성분을 알아내는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-가-라-나,,모항성에서 나온 빛의 일부가 행성 대기를 통과한다,천문학자가 빛의 흡수 패턴을 분석해 대기 성분을 읽어 낸다,행성이 모항성 앞을 가로질러 지나간다,대기 속 분자가 특정 파장의 빛을 흡수한다,,,-,"행성이 별 앞을 지나는 동안 별빛의 일부가 행성 대기를 통과해요. 이때 대기 분자가 특정 파장을 흡수하고, 그 패턴을 분석하면 대기 성분을 읽을 수 있죠. 통과법이 행성을 찾는 도구이면서 대기를 들여다보는 수단이기도 한 이유예요."
천문,6-1) 태양계와 지구의 탄생 -왜 이 행성인가,B. 태양계 천체,1,하,인라인,태양계가 만들어지던 원반에는 서로 다른 두 세계를 가른 경계가 있었습니다. 빈칸에 들어갈 말을 고르세요.,2,1,거주 가능 지대/스노우 라인/소행성대,승화해/응결해/융해되어,,,,,"태양에서 약 3 천문단위 떨어진 곳에는 휘발성 물질이 얼음 상태로 남아 있을 수 있는지를 가르는 경계가 있는데, 이를 [1](이)라고 한다. 이 경계보다 안쪽에서는 온도가 올라가면서 얼음이 기체로 [2] 사라지고, 암석과 금속 알갱이만 남았다.",스노우 라인은 태양에서 약 3 천문단위 떨어진 곳에 놓인 경계예요. 이 안쪽은 별이 태어난 뒤 온도가 올라가 얼음이 곧바로 기체로 승화해 버렸죠. 그래서 암석과 금속 알갱이만 남아 지구형 행성이 만들어졌답니다.
,,,2,하,OX,"토성은 목성 다음으로 큰 행성이므로, 밀도 또한 물보다 높다.",X,,O,X,,,,,-,토성은 목성 다음으로 큰 행성이지만 밀도는 물보다 낮아요. 크기가 크다고 해서 밀도까지 높은 것은 아니거든요. 이론적으로는 충분히 큰 물통만 있다면 토성이 물에 뜰 정도랍니다.
,,,3,중,사지선다 (단수),국제천문연맹이 2006년에 공식화한 행성의 정의에 따라 명왕성은 행성 목록에서 제외되었습니다. 명왕성이 충족하지 못한 조건은 무엇인가요?,4,,태양 주위를 도는 궤도를 가질 것,스스로 빛을 낼 만큼 내부 온도가 높을 것,중력으로 구형을 유지할 만큼 질량이 충분할 것,궤도 주변의 다른 천체를 지배하거나 흡수할 것,,,-,"행성으로 인정받으려면 태양을 공전하고, 중력으로 구형을 유지할 만큼 질량이 충분하며, 궤도 지배권을 가져야 해요. 명왕성은 이 가운데 세 번째 조건을 충족하지 못했죠. 소행성대의 세레스도 같은 이유로 왜소 행성으로 분류된답니다."
