분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
화학,3-1) 원자의 내부,A. 원자,1,하,인라인,다음은 원자를 이루는 입자가 각각 무엇을 결정하는지 설명한 것입니다. 빈칸에 알맞은 말을 고르세요.,2,3,중성자/양성자/전자,양성자/중성자/전자,,,,,원자핵 속 [1]의 수가 몇 개인지에 따라 원소의 종류가 정해진다. 반면 원자의 화학적 성질과 결합 방식은 핵 주변에 흩어져 있는 [2]이(가) 주로 좌우한다.,"원소의 정체는 원자핵 속 양성자의 수로 정해져요. 양성자가 1개면 수소, 6개면 탄소, 79개면 금이에요. 반면 화학적 성질과 결합 방식은 핵 주변의 전자가 좌우한답니다."
,,,2,하,OX,원자 안에서 전자가 발견될 확률은 원자핵 주위의 어느 지점에서나 똑같다.,X,,O,X,,,,,-,"전자가 발견될 확률은 지점마다 달라요. 어떤 곳은 높고 어떤 곳은 낮으며, 확률이 아예 0인 지점도 있어요. 그래서 전자의 자리를 확률의 구름으로 표현한답니다."
,,,3,중,사지선다 (단수),우리가 물질을 단단하다고 느끼는 까닭으로 알맞은 것은 무엇인가요?,4,,두 표면의 원자가 단단한 경계면끼리 직접 맞붙기 때문이다,두 표면의 원자핵이 서로를 강하게 끌어당기기 때문이다,두 표면의 전자가 각각의 원자핵에 강하게 끌려가기 때문이다,두 표면의 전자들이 서로를 밀어내는 힘이 강해지기 때문이다,,,-,"원자에는 단단한 경계면이 없어요. 두 표면이 가까워지면 전자 구름 사이의 상호작용이 강해지는데, 우리 뇌는 이 전기적인 반발을 닿음으로 인식한답니다."
,,,4,중-상,순서배열,다음 문장은 원자가 특정한 색의 빛을 내는 이유를 설명한 것입니다. 설명의 흐름에 맞게 문장을 배열하세요.,나-라-가-다,,두 준위의 에너지 차이만큼의 빛이 방출되거나 흡수된다,전자는 원자핵 주위의 정해진 에너지 준위에서만 존재할 수 있다,불꽃놀이와 네온사인에서 물질마다 다른 색의 빛이 나타난다,전자가 한 에너지 준위에서 다른 에너지 준위로 옮겨 간다,,,-,닐스 보어는 전자가 정해진 에너지 준위에서만 존재할 수 있다고 제안했어요. 전자가 준위를 옮길 때 그 에너지 차이만큼 빛이 오가요. 그래서 물질마다 나타나는 빛의 색이 다르답니다.
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,양자 역학,,,,,,,,눈에 보이지 않을 만큼 아주 작은 세계에서는 입자의 위치를 고전 역학처럼 하나의 점으로 정확히 그릴 수 없다. 20세기 초에 확립된 __ __은(는) 자연이 그 세계를 위치가 아니라 확률로 표현한다는 사실을 알려 주었다.,양자 역학은 아주 작은 세계를 위치가 아니라 확률로 표현해요. 이 세계관은 우리의 일상 감각과 정반대이지요. 그래도 실험 결과들이 한목소리로 이 그림이 사실임을 보여 준답니다.
,,,6,중,사지선다 (복수),어니스트 러더퍼드 연구팀은 금박에 알파 입자를 쏘는 실험을 했습니다. 이 실험으로 밝혀진 원자의 모습을 모두 고르세요.,2,4,원자의 질량 대부분은 전자가 차지한다,원자 내부의 넓은 공간은 거의 비어 있다,원자는 더 이상 쪼갤 수 없는 하나의 알갱이다,원자의 한가운데에 무겁고 조밀한 원자핵이 있다,,,-,알파 입자 대부분이 그대로 통과한 것은 원자 내부가 거의 비어 있다는 뜻이에요. 드물게 뒤로 튕겨 나온 입자는 한가운데에 무겁고 조밀한 원자핵이 있음을 알려 주었어요.
,,,7,중-상,순서배열,다음 문장은 우리 몸을 이루는 원자들이 지나온 과정을 나타냅니다. 사건이 일어난 순서대로 문장을 배열하세요.,가-다-라-나,,빅뱅이 일어나면서 우주에 첫 수소 핵이 생성된다,원소들이 모여 지구를 이루고 서로 결합해 바다와 공기와 우리 몸이 된다,"수소 핵이 별 속에서 다른 핵과 융합해 탄소, 산소, 철이 된다",별이 죽으면서 내부에서 생성된 원소들을 우주 공간에 흩뿌린다,,,-,우리 몸을 이루는 원자들은 빅뱅과 별의 역사를 품고 있어요. 빅뱅이 만든 수소 핵이 별 속에서 무거운 원소가 되었지요. 별이 죽으며 흩뿌린 그 원소들이 지구와 우리가 되었답니다.
물리,3-1) 원자의 내부,B. 양자물리,1,하,인라인,다음은 원자 안의 전자들이 지키는 규칙을 설명한 것입니다. 빈칸에 알맞은 말을 고르세요.,2,3,중첩/파울리 배타 원리/불확정성 원리,원자 번호/원자량/전자 배치,,,,,"같은 원자 안에서 두 전자는 동일한 양자 상태를 동시에 가질 수 없는데, 이를 [1](이)라고 한다. 이 규칙이 있기 때문에 원소마다 고유한 [2]이(가) 생긴다.",파울리 배타 원리는 같은 원자 안의 두 전자가 똑같은 양자 상태를 갖지 못하게 막아요. 그래서 전자들이 에너지 준위를 차례로 채워 나가지요. 원소마다 전자 배치가 달라지는 것도 이 때문이랍니다.
,,,2,하,OX,전자의 위치와 운동량을 동시에 정확히 알 수 없는 것은 측정 기술이 아직 정밀하지 않기 때문이다.,X,,O,X,,,,,-,불확정성 원리는 측정 기술의 한계 때문에 생기는 것이 아니에요. 전자의 위치를 더 정확히 알수록 그 순간의 운동량은 더 알기 어려워져요. 자연이 애초에 그런 방식으로 존재한다는 뜻에 가깝답니다.
,,,3,중,사지선다 (단수),에르빈 슈뢰딩거가 제안한 고양이 사고 실험이 보여 주려 한 것은 무엇인가요?,4,,고양이가 반쯤 살아 있고 반쯤 죽은 상태로 실제 존재한다는 것,큰 물체일수록 양자 효과가 더 뚜렷하게 나타난다는 것,관측자의 마음이 실험 결과를 직접 결정한다는 것,양자 세계의 규칙은 익숙한 세계의 언어로 설명하기 어렵다는 것,,,-,"에르빈 슈뢰딩거의 고양이는 실제 실험이 아니라 사고 실험이에요. 고양이가 정말 반쯤 살아 있다는 뜻이 아니라, 양자 세계의 규칙을 우리 일상의 언어로 옮기기 어렵다는 점을 드러낸 것이지요. 이 중첩의 원리는 오늘날 양자 컴퓨터 연구의 핵심 자원이 되고 있어요."
