분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
지구환경,E-1) 지구 에너지 수지와 온실효과,지구 에너지 수지와 온실효과,1,하,인라인,다음은 지구가 지금의 온도를 유지하는 원리를 설명한 것입니다. 빈칸에 들어갈 말을 고르세요.,1,3,균형/차이/역전,온실 효과/에너지 불균형/지구 에너지 수지,,,,,"지구로 들어오는 태양 에너지와 우주로 빠져나가는 에너지가 [1]을(를) 이루면, 지구의 표면 온도는 일정하게 유지된다. 두 에너지의 양을 견주어 보는 이러한 관점을 [2](이)라고 한다.",지구로 들어오는 에너지와 우주로 나가는 에너지가 같으면 지구의 온도는 오르지도 내리지도 않아요. 이렇게 두 에너지의 양을 견주어 보는 관점을 지구 에너지 수지라고 불러요. 저울의 양쪽 무게가 같으면 기울지 않는 것과 같답니다.
,,,2,하,OX,금성의 표면 온도가 지구보다 훨씬 높은 것은 태양에 더 가까워 흡수하는 태양 에너지가 지구보다 많기 때문이다.,X,,O,X,,,,,-,"금성은 태양에 더 가까워 더 많은 태양 에너지를 받기는 해요. 하지만 두꺼운 황산 구름이 햇빛의 70퍼센트 이상을 되돌려 보내서, 실제로 흡수하는 양은 지구보다 오히려 적답니다. 표면 온도가 섭씨 약 465도까지 오른 까닭은 약 96퍼센트가 이산화 탄소인 두꺼운 대기가 일으킨 강력한 온실 효과예요."
,,,3,중,사지선다 (단수),온실 효과에서 수증기와 이산화 탄소가 맡는 역할을 바르게 설명한 것은 무엇인가요?,4,,"이산화 탄소가 온실 효과의 가장 큰 몫을 차지하고, 수증기는 거의 관여하지 않는다.",수증기와 이산화 탄소는 모두 온도 변화에 느리게 반응해 장기적인 균형을 결정한다.,수증기는 온도 변화에 빠르게 반응하므로 장기적인 균형을 결정한다.,"수증기가 온실 효과의 가장 큰 몫을 차지하지만, 장기적인 균형은 이산화 탄소 농도가 바꾼다.",,,-,온실 효과에서 가장 큰 몫을 차지하는 것은 사실 수증기예요. 다만 수증기는 온도가 오르면 곧바로 따라 늘어나는 되먹임이라 스스로 균형점을 정하지는 못해요. 장기적인 균형을 바꾸는 쪽은 이산화 탄소 농도랍니다.
,,,4,중-상,순서배열,다음 문장은 대기의 온실 효과가 일어나는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,라-나-가-다,,온실 가스 분자가 특정 파장의 적외선을 흡수한다.,데워진 지표면이 긴 파장의 적외선을 방출한다.,온실 가스가 내보낸 에너지의 일부가 지표면과 대기 하층의 온도를 높인다.,지표면이 짧은 파장의 태양 복사를 흡수해 온도가 올라간다.,,,-,"태양 에너지는 짧은 파장으로 들어오고, 데워진 지표면은 긴 파장의 적외선으로 내보내요. 온실 가스는 이 긴 파장을 흡수했다가 여러 방향으로 다시 방출하는데, 그중 일부가 아래로 향하면서 지표면과 대기 하층이 따뜻해져요. 유리 온실이 주로 공기의 대류를 막아 따뜻해지는 것과는 원리가 다르답니다."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,유효복사온도,,,,,,,,"지금과 같은 햇빛 반사율을 그대로 두고 대기의 적외선 흡수가 없다고 단순화하면, 지구의 온도는 영하 약 18도로 계산된다. 이렇게 구한 온도를 ______(이)라고 한다.",대기가 적외선을 흡수하지 않는다고 단순화했을 때 계산되는 값이 유효복사온도예요. 지금의 지표면 평균 온도보다 약 33도나 낮지요. 우리가 따뜻한 지구에서 살 수 있는 것은 대기의 온실 효과 덕분이랍니다.
,,,6,중,사지선다 (복수),지구의 기후 변화를 보여 주는 관측 사실로 옳은 것을 모두 고르세요.,2,4,산업화 이전 대기 중 이산화 탄소 농도는 빙하 기록의 최고치를 이미 넘어선 상태였다.,현재 대기 중 이산화 탄소 농도는 남극 빙하 기록에서 한 번도 도달하지 않았던 수준이다.,마지막 빙하기 이후의 기온 상승은 지금의 온난화보다 더 짧은 기간에 일어났다.,지구에 남는 에너지의 대부분은 대기가 아니라 해양이 흡수하고 있다.,,,-,"80만 년에 걸친 남극 빙하 코어 기록은 170~300ppm 사이를 오갔고, 산업화 이전 농도는 약 280ppm으로 그 범위 안에 있었어요. 지금은 425ppm을 넘어 기록에 한 번도 없던 수준이고, 지구에 남는 에너지의 약 90퍼센트는 해양이 흡수하고 있답니다. 마지막 빙하기 이후 기온이 약 5~7도 오르는 데에는 1만여 년이 걸렸으니, 지금의 변화가 훨씬 빠른 셈이에요."
,,,7,중-상,순서배열,다음 문장은 온실 가스가 늘어날 때 지구의 에너지 균형이 달라지는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,나-가-라-다,,우주로 나가는 적외선이 더 높고 차가운 대기층에서 방출된다.,대기 중 온실 가스의 농도가 산업화 이전보다 높아진다.,들어오는 에너지가 나가는 에너지보다 많아져 에너지 불균형이 생긴다.,같은 지표면 온도에서도 우주로 빠져나가는 에너지가 줄어든다.,,,-,"온실 가스가 늘면 적외선이 우주로 빠져나가기까지 더 높고 차가운 대기층을 거치게 돼요. 차가운 층에서 내보내는 에너지는 적기 때문에, 같은 지표면 온도에서도 우주로 나가는 양이 줄어들지요. 그래서 들어오는 쪽이 많아지는 에너지 불균형이 생기고, 온실 가스는 에너지를 새로 만드는 것이 아니라 빠져나가는 속도를 늦출 뿐이랍니다."
지구환경,E-2) IPCC 미래 시나리오,IPCC 미래 시나리오,1,하,인라인,다음은 IPCC가 제시하는 기후 전망의 의미를 정리한 것입니다. 빈칸에 알맞은 말을 고르세요.,2,1,해양 표면 수온/지구 평균 기온/대륙의 지표 기온,배출 시나리오/기후 평년값/장기 관측 기록,,,,,"기후 과학자가 말하는 1.5도와 4도는 특정 지역의 체감 온도가 아니라, 산업화 이전과 비교한 [1]의 상승 폭을 나타낸다. IPCC가 평가하는 여러 경로는 미래를 단정하는 예언이 아니다. 어떤 에너지와 토지 이용 방식을 선택하느냐에 따라 미래가 어떻게 갈라지는지를 보여주는 [2]에 해당한다.","1.5도와 4도는 산업화 이전인 1850~1900년과 비교한 상승 폭이에요. 이 값은 전 세계 육지의 지표 부근 기온과 해양의 표면 수온을 지구 전체에 걸쳐 평균한 값이죠. 배출 시나리오는 미래를 못 박아 두는 예언이 아니라, 우리의 선택에 따라 미래가 어떻게 갈라지는지를 보여주는 조건부 지도랍니다."
,,,2,하,OX,"파리 협정이 목표로 삼은 1.5도는 수십 년 평균을 두고 하는 말이므로, 어느 한 해의 지구 평균 기온이 1.5도를 넘었더라도 목표가 곧바로 깨진 것은 아니다.",O,,O,X,,,,,-,"파리 협정은 2015년에 채택되어 이듬해 발효된 국제 협약이에요. 상승 폭을 2도보다 훨씬 낮게 유지하고 1.5도로 제한하려 노력하는 것이 핵심 목표죠. 여기서 말하는 1.5도는 한 해의 기온이 아니라 수십 년 평균이라, 어느 한 해가 그 값을 넘었다고 목표가 곧바로 깨지는 것은 아니에요."
,,,3,중,사지선다 (단수),IPCC는 온실 가스 배출을 줄인 뒤에도 전 지구 평균 해수면이 오랫동안 계속 오를 것으로 전망합니다. 그 까닭으로 알맞은 것은 무엇인가요?,3,,해수면은 배출 경로와 상관없이 늘 일정한 속도로 오르기 때문이다.,해수면 상승은 폭염과 집중 호우가 잦아질 때만 함께 나타나기 때문이다.,해수면은 기온 변화보다 훨씬 느리게 반응하기 때문이다.,해수면은 빙상이 완전히 사라진 뒤에야 오르기 시작하기 때문이다.,,,-,"바닷물은 기온보다 훨씬 느리게 반응해서, 배출을 줄인 뒤에도 오랫동안 계속 올라요. IPCC는 1995~2014년을 기준으로 2100년까지 매우 낮은 배출 경로에서 약 0.3~0.5미터, 매우 높은 배출 경로에서 약 0.6~1미터 오를 가능성이 높다고 봐요. 빙상이 급격히 무너지는 드문 경우라면 이보다 훨씬 크게 오를 수도 있죠."
