분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,5-1) 전기,A. 쿨롱 법칙과 전기장,1,하,인라인,원자의 전기적 상태에 대한 설명입니다. 빈칸에 들어갈 말을 고르세요.,2,3,이온/전기적 중성/플라스마,분자/플라스마/이온,,,,,"보통 상태의 원자는 양성자 수와 전자 수가 같아서 전체적으로 [1]이다. 하지만 원자가 전자를 잃거나 얻어 이 균형이 깨지면, 물질은 [2](으)로 바뀐다.","보통 상태의 원자는 양성자 수와 전자 수가 같아서 전체적으로 전기적 중성이에요. 이 균형이 깨지면, 즉 전자를 잃거나 얻으면 물질은 이온이 돼요. 그때부터 전기적인 힘이 훨씬 뚜렷하게 드러나죠."
,,,2,하,OX,쿨롱 법칙에 따르면 두 전하 사이의 거리가 세 배로 멀어질 때 힘의 크기는 3분의 1로 줄어든다.,X,,O,X,,,,,-,두 전하 사이의 힘은 거리에 반비례하는 것이 아니라 거리의 제곱에 반비례해요. 그래서 거리가 세 배가 되면 힘은 3분의 1이 아니라 9분의 1로 줄어들어요. 거리가 두 배일 때는 4분의 1이 되죠.
,,,3,중,사지선다 (단수),손끝이 책상에 닿는 순간을 떠올려 보세요. 우리가 단단함을 느끼는 이유로 알맞은 것은 무엇인가요?,4,,원자와 원자가 서로 달라붙어 결합하기 때문이다,손끝의 전자가 책상으로 모두 옮겨 가기 때문이다,손끝과 책상의 원자핵이 직접 맞닿기 때문이다,아주 가까워진 원자끼리 서로 밀어내기 때문이다,,,-,"우리는 사실 무언가를 직접 만진 적이 없어요. 손끝의 원자와 책상의 원자가 아주 가까워지면 서로를 밀어내는데, 그 보이지 않는 밀어냄을 우리는 단단함이라고 느껴요. 발이 바닥을 딛고 설 수 있는 것도 같은 이유랍니다."
,,,4,중-상,순서배열,다음 문장은 전기력이 우주에서 물질을 만들어 온 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,다-가-라-나,,시간이 흐르면서 우주의 온도가 충분히 낮아졌다.,"원자들이 모여 별과 행성을 이루고, 일부는 결합해 분자가 되었다.","빅뱅 직후의 우주는 양성자와 전자, 빛이 뜨겁게 뒤섞인 플라스마 상태였다.",양성자와 전자가 전기력으로 결합해 최초의 안정된 수소 원자가 탄생했다.,,,-,"빅뱅 직후의 우주는 양성자와 전자, 빛이 뜨겁게 뒤섞인 플라스마 상태였어요. 우주의 나이가 약 38만 년이 되어 충분히 식은 다음에야 양성자와 전자가 전기력으로 결합할 수 있었죠. 그렇게 태어난 원자들이 모여 별과 행성이 되었으니, 전기력이 없었다면 물질도 생명도 없었을 거예요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,전압,,,,,,,,번개는 구름과 땅 사이에 쌓인 거대한 전기 퍼텐셜 차이가 한순간에 터져 나오는 현상이다. 이처럼 두 지점 사이에 생기는 전기 퍼텐셜 차이를 __(이)라고 한다.,"두 지점 사이의 전기 퍼텐셜 차이를 전압이라고 불러요. 물이 높은 곳에서 낮은 곳으로 흐르듯, 전하도 전압이 있으면 움직여요. 가정용 콘센트의 220볼트와 번개의 수억 볼트는 크기만 다를 뿐 모두 전기 퍼텐셜 차이에서 시작된답니다."
,,,6,중,사지선다 (복수),전기력과 쿨롱 법칙에 대한 설명으로 옳은 것을 모두 고르세요.,2,4,전기력은 물질이 이온이 되어야만 작용한다,두 전하 사이의 힘은 두 전하량의 곱에 비례한다,쿨롱 법칙은 만유인력 법칙과 전혀 다른 형태를 띤다,양성자 사이의 전기적 반발력은 중력보다 훨씬 강하다,,,-,쿨롱 법칙에서 힘의 크기는 두 전하량의 곱에 비례하고 거리의 제곱에 반비례해요. 양성자 두 개 사이의 전기적 반발력은 중력보다 약 10의 36제곱 배나 강하답니다. 또 이 법칙은 뉴턴의 만유인력 법칙과 매우 비슷한 수학적 형태를 띠어요.
,,,7,중-상,순서배열,다음 문장은 전하가 전류로 흐르기까지의 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,나-라-가-다,,전하는 전기 퍼텐셜 차이를 따라 한쪽으로 움직인다.,전하가 자기 주변의 공간을 변화시켜 전기장을 만든다.,전하의 흐름이 전등을 켜고 도시의 밤을 밝힌다.,전기장 안에 놓인 전하는 위치에 따라 전기적 에너지가 달라진다.,,,-,"마이클 패러데이는 전하가 자기 주변의 공간 자체를 변화시킨다고 보았어요. 그 변화된 공간이 전기장이고, 전기장 안에서는 전하가 놓인 위치에 따라 전기적 에너지가 달라져요. 전하가 그 차이를 따라 움직이는 흐름이 바로 전류이고, 그 전류가 우리의 문명 전체를 작동시킨답니다."
물리,5-1) 전기,B. 전류,1,하,인라인,다음은 도선을 흐르는 전기에 대한 설명입니다. 빈칸에 알맞은 말을 고르세요.,1,2,전류/전압/전력,전압/저항/전력,,,,,"도선의 한 단면을 1초 동안 통과하는 전하의 양을 [1](이)라고 하며, 단위는 암페어이다. 구리 전선은 내부의 전자가 비교적 쉽게 움직이기 때문에 전하의 흐름을 방해하는 [2]이(가) 작다.","전류는 1초 동안 도선의 한 단면을 통과하는 전하의 양이고, 단위는 암페어예요. 도선이 이 흐름을 방해하는 정도가 저항이고 단위는 옴이죠. 구리 전선은 전자가 비교적 쉽게 움직여서 저항이 작아요."
,,,2,하,OX,"전력은 전압과 저항을 곱한 값이며, 단위는 와트이다.",X,,O,X,,,,,-,전력은 전압과 전류를 곱한 값이에요. 단위가 와트라는 점은 맞지만 곱하는 대상이 저항이 아니라 전류랍니다. 천 와트짜리 헤어드라이어를 1시간 쓰면 1킬로와트시의 전기 에너지를 소비해요.
,,,3,중,사지선다 (단수),전류가 흐르는 전선에서 에너지가 전달되는 방식으로 옳은 것은 무엇인가요?,3,,전선 속 전자가 서로 부딪치며 에너지를 앞으로 밀어 보낸다.,도선의 저항이 전기 에너지를 모두 열로 바꾸어 보낸다.,전선과 그 주변에 형성된 전자기장에 실려 에너지가 전달된다.,금속 도선 속 이온이 자리를 옮기면서 에너지를 실어 나른다.,,,-,전자들은 아주 느리게 움직이지만 에너지는 전선과 그 주변에 형성된 전자기장을 통해 매우 빠르게 전달돼요. 전선은 에너지가 지나갈 길을 안내하는 역할을 하죠. 그래서 스위치를 켜는 일은 공간 속 전자기장의 질서를 바꾸어 에너지가 흐를 길을 여는 일이에요.
