분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,4-1) 운동과 힘,A. 동역학,1,하,인라인,다음은 힘과 운동의 관계를 설명한 것입니다. 빈칸에 알맞은 말을 고르세요.,2,1,관성 법칙/가속도 법칙/작용 반작용 법칙,구심력/마찰력/만유인력,,,,,"아이작 뉴턴의 제2법칙에 따르면 힘은 질량과 가속도의 곱으로 나타나는데, 이를 [1](이)라고 한다. 원을 그리며 도는 물체는 빠르기가 일정해도 속도의 방향이 순간마다 바뀌는데, 이 방향 변화를 만드는 힘을 [2](이)라고 한다.","아이작 뉴턴의 제2법칙은 F=ma로 표현되는 가속도 법칙이에요. 힘은 속도 자체가 아니라 속도의 변화를 만들죠. 원운동처럼 빠르기가 그대로여도 방향이 바뀌면 그것도 가속이고, 그 방향 변화를 만드는 힘이 구심력이에요."
,,,2,하,OX,"우리가 벽을 밀 때, 벽이 우리를 되미는 힘은 우리가 벽을 미는 힘보다 작다.",X,,O,X,,,,,-,우리가 벽을 밀면 벽도 우리를 같은 크기로 밀어요. 이것이 아이작 뉴턴의 제3법칙인 작용 반작용 법칙이에요. 힘은 혼자 나타나지 않고 언제나 두 물체 사이의 관계로 나타나요.
,,,3,중,사지선다 (단수),달은 지구로 곧장 떨어지지 않고 궤도를 돕니다. 그 까닭으로 가장 알맞은 것은 무엇인가요?,3,,지구와 달 사이의 거리가 멀어 지구의 중력이 달에 닿지 않기 때문이다.,달이 지구의 중력을 정확히 상쇄하는 바깥 방향의 힘을 함께 받기 때문이다.,달에 앞으로 나아가는 관성이 있고 지구의 중력이 달을 안쪽으로 당기기 때문이다.,달의 질량이 커서 지구의 중력보다 큰 힘으로 버티고 있기 때문이다.,,,-,"달은 사실 지구를 향해 끊임없이 떨어지고 있어요. 앞으로 나아가는 관성과 안쪽으로 당기는 중력이 함께 작용해서, 곧장 떨어지는 대신 지구를 도는 궤도가 되죠. 지구가 사과를 당기는 힘과 달을 당기는 힘은 종류가 다르지 않은 같은 중력이에요."
,,,4,중-상,순서배열,다음 문장은 물체의 운동을 설명하는 이론이 자리 잡아 온 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,나-라-다-가,,뉴턴이 물체의 운동을 세 가지 운동 법칙으로 정리한다,물체가 움직이려면 계속 힘이 필요하다는 생각이 오랫동안 받아들여진다,갈릴레이가 경사면 실험으로 낙하하는 물체의 운동을 수학의 언어로 기술한다,갈릴레이가 무거운 물체와 가벼운 물체가 같은 속도로 떨어진다는 사실을 보인다,,,-,"아리스토텔레스 이래 사람들은 물체가 움직이려면 계속 힘이 필요하다고 믿었어요. 갈릴레오 갈릴레이는 자유 낙하를 보여 그 생각에 균열을 냈고, 경사면 위에서 낙하를 천천히 펼쳐 보이며 운동을 수학의 언어로 옮겼죠. 아이작 뉴턴은 이 흐름을 세 가지 운동 법칙으로 정리했어요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,관성계,,,,,,,,"등속으로 달리는 기차 안에서 공을 수직으로 던지면, 기차 안 기준에서 공은 수직으로 올라갔다가 내려온다. 기차 밖 기준에서 같은 공은 포물선을 그리지만, 두 관찰자가 경험하는 역학 법칙은 동일하다. 이처럼 아이작 뉴턴의 운동 법칙이 그대로 성립하는 좌표계를 ___(이)라고 한다.","관성 법칙이 성립하는 좌표계를 관성계라고 불러요. 어느 관성계에 있든 아이작 뉴턴의 법칙은 똑같이 작동하죠. 겉보기 움직임은 관찰자에 따라 달라도, 그것을 지배하는 법칙은 언제나 하나예요."
,,,6,중,사지선다 (복수),운동량 보존과 에너지 보존에 대한 설명으로 옳은 것을 모두 고르세요.,2,4,충돌이 일어나면 물체들의 전체 운동량은 그만큼 줄어들어 사라진다.,외부에서 힘이 작용하지 않으면 계 전체의 운동량은 일정하게 유지된다.,마찰이 없어도 떨어지는 공의 위치 에너지와 운동 에너지의 합은 줄어든다.,자연의 법칙이 어디서나 똑같이 작동하는 성질이 운동량 보존과 연결된다.,,,-,"외부에서 힘이 작용하지 않는 한 계 전체의 운동량은 일정하게 유지돼요. 충돌 전후로 각 물체의 속도는 달라져도 전체 운동량은 사라지지 않죠. 그 더 깊은 이유는 공간의 대칭성, 곧 자연의 법칙이 어디서나 똑같이 작동한다는 성질에 있어요."
,,,7,중-상,순서배열,다음 문장은 중력에 대한 이해가 넓어진 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-라-가-나,,하늘의 법칙과 땅의 법칙이 별개라는 상식이 무너진다,인류가 만유인력 계산으로 해왕성의 위치를 예측한다,뉴턴이 세 운동 법칙에 만유인력 법칙을 더한다,지구가 사과와 달을 당기는 힘이 하나의 중력으로 설명된다,,,-,"아이작 뉴턴은 세 운동 법칙에 만유인력 법칙을 더했어요. 지구가 사과를 당기는 힘과 달을 당기는 힘이 같은 중력임이 드러나면서, 하늘과 땅의 법칙이 별개라는 상식이 무너졌죠. 우주를 하나의 수학적 언어로 읽게 된 인류는 계산으로 해왕성의 위치까지 예측하게 됐어요."
천문,4-1) 운동과 힘,B. 천체역학,1,하,인라인,행성마다 궤도가 찌그러진 정도는 서로 다릅니다. 빈칸에 들어갈 알맞은 말을 고르세요.,2,1,장반경/이심률/공전 주기,길쭉하다/둥글다/일정하다,,,,,"행성의 궤도가 얼마나 찌그러졌는지는 [1](이)라는 값으로 나타내며, 이 값이 0이면 완벽한 원이다. 수성은 지구보다 이 값이 커서, 수성의 궤도가 지구보다 더 [2].","이심률은 궤도가 얼마나 찌그러졌는지를 나타내는 값이에요. 0이면 완벽한 원이고, 1에 가까울수록 길쭉한 타원이 돼요. 지구는 약 0.017로 거의 원에 가깝지만 수성은 약 0.206이라 훨씬 찌그러진 궤도를 돌아요."
,,,2,하,OX,만유인력은 두 물체 사이의 거리가 두 배로 멀어지면 그 크기가 절반으로 줄어든다.,X,,O,X,,,,,-,"중력은 거리의 제곱에 반비례해요. 그래서 거리가 두 배가 되면 절반이 아니라 4분의 1로, 세 배가 되면 9분의 1로 줄어들어요. 다만 아무리 멀어져도 완전히 사라지지는 않아요."
,,,3,중,사지선다 (단수),달은 언제나 같은 면만 지구를 향하고 있습니다. 그 까닭으로 옳은 것은 무엇인가요?,3,,달의 궤도가 완벽한 원이어서 지구와의 거리가 변하지 않기 때문,달이 오래전에 자전을 멈추고 공전만 이어 가고 있기 때문,지구의 조석력이 달의 자전을 늦춰 자전 주기가 공전 주기와 같아졌기 때문,달의 질량이 작아 지구의 중력에 그대로 끌려다니고 있기 때문,,,-,"중력이 거리에 따라 달라지기 때문에 달의 가까운 쪽과 먼 쪽이 받는 힘에 차이가 생기는데, 이 차이가 조석력이에요. 지구의 조석력은 수십억 년 동안 달의 자전을 조금씩 늦춰 자전 주기와 공전 주기를 일치시켰어요. 이렇게 두 주기가 같아진 상태를 동주기 자전이라고 해요."
